,budget,vote_count,vote_average,popularity,runtime,revenue,profitable,Foreign,Action,Western,Adventure,Fantasy,Comedy,Thriller,Horror,Drama,Crime,Family,Science Fiction,Animation,Documentary,History,Mystery,TV Movie,Romance,Music,War
13,8.352182520041561,3.803457115648414,6.5,2.0017251003698853,2.1583624920952498,8.821412324689557,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,8.342422682796272,4.071034675054151,7.4,2.162709643882517,2.1583624920952498,9.181717255879265,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,8.57978359775969,3.694517453811156,6.4,2.1348584852670736,2.1367205671564067,9.019412840568535,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,8.352182520041561,3.6191977157929474,6.2,1.7245640389853933,2.0293837776852097,8.795203225666135,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,8.397940010409215,3.6776981814745104,7.1,2.086237865795734,2.161368002234975,8.980466881987976,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,8.33243846193558,3.818687663441514,6.5,1.9584027295954745,2.1367205671564067,8.87634248485519,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8.301029997835453,3.1458177144918276,6.2,1.5873550905490255,2.1492191126553797,8.49229867577165,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8.397940010409215,3.655618583541222,7.6,1.979414350961619,2.2095150145426308,8.98154680549838,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,8.255272507516054,3.1152775913959014,5.8,1.643362906435803,2.0569048513364727,8.57081704845078,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,8.301029997835453,3.878694100396108,7.5,2.004432723791766,2.290034611362518,9.266004418167963,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
23,8.397940010409215,3.859858520480993,7.1,2.299665025946002,2.1702617153949575,9.061943985069085,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,8.176091261950978,3.937668314399005,6.5,2.6229478185051995,2.0969100130080562,9.17999069244768,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
25,8.301029997835453,3.8810992183890174,6.9,1.9731509214162928,2.1583624920952498,9.044759601207199,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,8.301029997835453,3.6356847625472226,6.7,1.5581033279391232,2.1072099696478683,8.89418660923454,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,8.301029997835453,3.9448279963432165,6.8,1.8958758321901337,2.1172712956557644,9.084733523044719,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,8.301029997835453,3.6670792054642165,6.4,1.9005315558324931,2.037426497940624,9.0109319002379,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,8.176091261950978,3.4967913157000425,6.0,1.3605870335166246,2.1789769472931693,8.922360657789211,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,8.322219296801988,3.490800952010855,5.8,2.0712938247290515,2.220108088040055,9.037985978060007,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
